wd,Y,Length,Midpoint
0,-1167.5431187593563,0.0,833.9619498341913
0,-1106.0934809299165,180.25282845531535,764.3188115673736
0,-1044.6438431004767,360.5056569106307,694.675673300556
0,-983.1942052710369,540.7584853659462,625.0325350337383
0,-921.744567441597,721.0113138212619,555.3893967669205
0,-860.2949296121573,901.2641422765772,485.7462585001028
0,-798.8452917827175,964.4696795269822,357.5794746308301
0,-737.3956539532776,939.8897483737248,185.51995655972553
0,-675.9460161238378,915.3098172204673,13.46043848862152
0,-614.496378294398,890.7298860672098,-158.5990795824826
0,-553.0467404649582,667.16955986785,-219.46367100898112
0,-491.59710263551847,667.1695598677823,-158.0138431264699
0,-430.1474648060787,667.1695598677145,-96.56401524395866
0,-368.6978269766389,667.1695598676467,-35.11418736144739
0,-307.248189147199,667.1695598675792,26.335640521063937
0,-245.79855131775923,667.1695598675115,87.78546840357521
0,-184.34891348831945,667.1695598674437,149.23529628608645
0,-122.89927565887956,491.598623060203,122.89965576501132
0,-61.44963782943978,245.79931153010145,61.44982788250569
10,-1004.9895424979998,0.0,1024.0339288340163
10,-952.0953560507367,279.0142972879755,892.3705347322156
10,-899.2011696034734,558.0285945759517,760.7071406304145
10,-846.3069831562103,837.0428918639273,629.0437465286138
10,-793.4127967089472,1116.057189151903,497.38035242681303
10,-740.518610261684,1395.0714864398792,365.716958325012
10,-687.6244238144209,1552.5778458014497,294.8075331864139
10,-634.7302373671578,1368.768218842497,239.93974968496147
10,-581.8360509198947,975.0358427328438,80.11059160815876
10,-528.9418644726314,581.3034666231898,-79.71856646864425
10,-476.0476780253683,575.912499472405,-45.37702006601279
10,-423.1534915781052,575.9124994723616,-8.339990088010609
10,-370.259305130842,575.9124994723181,28.697039889991657
10,-317.3651186835789,575.9124994722747,65.73406986799384
10,-264.4709322363158,575.9124994722313,102.77109984599602
10,-211.57674578905255,575.9124994721878,139.80812982399829
10,-158.68255934178944,575.9124994721444,176.84515980200047
10,-105.78837289452633,575.912499472101,213.88218978000268
10,-52.89418644726311,393.7323761089474,159.82915807644986
20,-811.8998675370884,0.0,1182.9911550923907
20,-768.4100861899009,1540.119918141219,411.7430046152215
20,-724.9203048427133,1518.6520267641363,421.28875889720325
20,-681.4305234955258,1497.1841353870534,430.8345131791849
20,-637.9407421483382,1475.7162440099708,440.3802674611667
20,-594.4509608011507,1454.2483526328879,449.92602174314834
20,-550.9611794539633,1432.7804612558052,459.47177602513005
20,-507.47139810677567,1411.3125698787223,469.0175303071117
20,-463.9816167595881,1389.84467850164,478.5632845890935
20,-420.4918354124006,520.529269839654,64.18528022862371
20,-377.00205406521303,520.5292698396249,84.46498019913226
20,-333.5122727180255,520.5292698395957,104.74468016964074
20,-290.022491370838,520.5292698395665,125.02438014014922
20,-246.53271002365045,520.5292698395374,145.30408011065774
20,-203.0429286764629,520.5292698395082,165.58378008116625
20,-159.55314732927536,520.529269839479,185.86348005167477
20,-116.06336598208782,520.5292698394499,206.1431800221833
20,-72.57358463490027,520.5292698394206,226.42287999269178
20,-29.083803287712726,520.5292698393914,246.7025799632003
30,-835.4213820557609,2.2737367544323206e-13,-223.85186932165777
30,-785.8864364303263,300.8069980828651,-60.175439501611265
30,-736.3514908048917,601.6139961657303,103.50099031843541
30,-686.8165451794571,902.4209942485955,267.1774201384821
30,-637.2815995540224,1203.2279923314613,430.85384995852905
30,-587.7466539285878,1462.182503491979,573.6040363174021
30,-538.2117083031532,1438.7730406669934,575.1722356835232
30,-488.6767626777185,1415.3635778420078,576.7404350496446
30,-439.1418170522839,1391.954115017022,578.3086344157657
30,-389.6068714268493,1368.5446521920364,579.8768337818871
30,-340.07192580141464,1345.1351893670508,581.4450331480082
30,-290.53698017598003,1321.7257265420649,583.0132325141294
30,-241.00203455054543,488.40146219004356,179.62403111673282
30,-191.46708892511083,488.4014621900143,192.89696189533225
30,-141.9321432996761,488.401462189985,206.16989267393174
30,-92.39719767424151,488.4014621899558,219.4428234525312
30,-42.86225204880691,488.4014621899265,232.7157542311307
30,6.672693576627694,457.5817758271495,261.398528191104
30,56.207639202062296,228.7908879135747,389.0669029264762
40,-861.6009232557288,0.0,-75.38165585627303
40,-806.0500190494345,156.81460593193896,7.885808038447898
40,-750.49911484314,313.62921186387814,91.15327193316894
40,-694.9482106368455,470.4438177958175,174.4207358278901
40,-639.3973064305511,627.2584237277565,257.6881997226111
40,-583.8464022242567,784.0730296596954,340.95566361733194
40,-528.2954980179622,940.8876355916348,424.2231275120531
40,-472.7445938116678,1097.7022415235738,507.49059140677406
40,-417.1936896053734,1254.5168474555128,590.7580553014951
40,-361.64278539907895,1411.331453387452,674.0255191962161
40,-306.0918811927845,1395.4687797232195,670.9543432928513
40,-250.54097698649014,1368.6537062373868,662.4069674786863
40,-194.99007278019565,1341.838632751554,653.8595916645215
40,-139.43916857390116,1315.0235592657211,645.3122158503564
40,-83.88826436760678,1288.2084857798886,636.7648400361916
40,-28.337360161312404,473.5614987493374,234.30150744966755
40,27.213544044982086,407.0863579693199,272.3992387683969
40,82.76444825127658,271.3909053128797,345.10712602533766
40,138.31535245757095,135.69545265643973,417.8150132822782
50,-861.6011563936759,5.684341886080802e-14,75.37899107734623
50,-801.722179720716,113.42989373224248,126.85529960732146
50,-741.8432030477561,226.859787464485,178.33160813729668
50,-681.9642263747962,340.28968119672754,229.8079166672719
50,-622.0852497018365,453.71957492896985,281.28422519724705
50,-562.2062730288766,567.1494686612124,332.76053372722225
50,-502.3272963559167,680.579362393455,384.23684225719757
50,-442.4483196829569,794.0092561256974,435.7131507871727
50,-382.569343009997,907.4391498579399,487.18945931714796
50,-322.6903663370372,1020.8690435901823,538.6657678471231
50,-262.8113896640773,1134.2989373224248,590.1420763770983
50,-202.93241299111742,1247.7288310546674,641.6183849070735
50,-143.05343631815754,1361.1587247869102,693.0946934370488
50,-83.17445964519766,1405.6914176903472,710.1224015526215
50,-23.29548297223789,1374.142669591705,689.1093891671543
50,36.58349370072199,1279.8464856276717,699.4700947143825
50,96.46247037368187,1145.5942538429529,729.8088241719537
50,156.34144704664175,1011.3420220582337,760.1475536295247
50,216.2204237196015,102.70348368611008,403.2931297933934
60,-835.422074385823,5.684341886080802e-14,223.84928551069018
60,-770.3182715065192,97.94844253353148,255.37910327725527
60,-705.2144686272155,195.89688506706253,286.90892104382016
60,-640.1106657479118,293.845327600594,318.4387388103852
60,-575.0068628686081,391.7937701341251,349.9685565769501
60,-509.9030599893043,489.74221266765653,381.49837434351514
60,-444.79925711000055,587.690655201188,413.02819211008017
60,-379.69545423069684,685.6390977347194,444.5580098766452
60,-314.5916513513931,783.5875402682507,476.0878276432102
